league,season,date,home_team,away_team,FTHG,FTAG,FTR,home_xg,away_xg,home_elo,away_elo,elo_diff,home_form_l5,home_form_l10,home_finishing_efficiency_l5,home_finishing_efficiency_l10,home_attacking_xg_l5,home_attacking_xg_l10,home_defensive_xg_l5,home_defensive_xg_l10,home_rest_days,away_form_l5,away_form_l10,away_finishing_efficiency_l5,away_finishing_efficiency_l10,away_attacking_xg_l5,away_attacking_xg_l10,away_defensive_xg_l5,away_defensive_xg_l10,away_rest_days,form_diff_l5,form_diff_l10,attack_vs_defense_l5,defense_vs_attack_l5
ENG-Premier League,2526,2026-09-05,Burnley,Aston Villa,,,,,,1697.41235352,1933.72741699,-236.31506347000004,3.0,3.0,2.308727,2.308727,0.691273,0.691273,2.1276,2.1276,104.0,3.0,3.0,0.42386199999999996,0.42386199999999996,0.576138,0.576138,0.481306,0.481306,104.0,0.0,0.0,0.20996700000000001,1.5514620000000001
ENG-Premier League,2526,2026-09-05,Crystal Palace,Everton,,,,,,1793.43347168,1822.35644531,-28.922973630000115,0.0,3.0,-0.12760000000000016,-0.028002000000000304,2.1276,1.5280020000000012,0.691273,0.7145354999999998,104.0,0.0,0.0,-1.33114,-1.33114,2.33114,2.33114,1.4121,1.4121,104.0,0.0,3.0,0.7155000000000002,-1.639867
ENG-Premier League,2526,2026-09-05,Fulham,Bournemouth,,,,,,1802.05895996,1844.31835938,-42.25939941999991,0.0,0.0,-1.05283,-1.1270449999999999,1.05283,1.6270449999999996,1.67722,1.7825000000000004,104.0,3.0,3.0,0.5879000000000001,0.5879000000000001,1.4121,1.4121,2.33114,2.33114,104.0,-3.0,-3.0,-1.27831,0.26512
ENG-Premier League,2526,2026-09-05,Liverpool,Chelsea,,,,,,1952.64709473,1925.30371094,27.34338378999996,3.0,3.0,-2.08172,-2.08172,3.08172,3.08172,0.693794,0.693794,104.0,1.0,4.0,-1.21176,-0.9872699999999996,3.21176,3.487269999999999,1.28948,1.2015999999999996,104.0,2.0,-1.0,1.7922399999999998,-2.517966
ENG-Premier League,2526,2026-09-05,Man City,Brentford,,,,,,1979.5435791,1857.94604492,121.59753417999993,3.0,3.0,1.32278,1.32278,1.67722,1.67722,1.05283,1.05283,104.0,1.0,1.0,-0.8115399999999999,-0.8115399999999999,1.81154,1.81154,0.78418,0.78418,104.0,2.0,2.0,0.89304,-0.75871
ENG-Premier League,2526,2026-09-05,Nott'm Forest,Newcastle,,,,,,1780.41491699,1874.52978516,-94.11486817000014,1.0,1.0,-3.69094,-2.17587,3.69094,2.6758699999999997,0.406959,1.8943745,104.0,3.0,3.0,-0.46991000000000005,-0.46991000000000005,2.46991,2.46991,1.68925,1.68925,104.0,-2.0,-2.0,2.00169,-2.062951
ENG-Premier League,2526,2026-09-05,Sunderland,Man United,,,,,,1702.13769531,1878.12097168,-175.98327636999988,0.0,0.0,-0.693794,-0.693794,0.693794,0.693794,3.08172,3.08172,104.0,1.0,4.0,0.26423300000000005,0.04923650000000035,0.735767,1.4507634999999997,1.30746,0.950432,104.0,-1.0,-4.0,-0.613666,2.3459529999999997
ENG-Premier League,2526,2026-09-05,Tottenham,Leeds,,,,,,1811.74987793,1785.33105469,26.418823239999934,0.0,0.0,-0.6892499999999999,-0.6413269999999995,1.68925,1.141327,2.46991,2.317835,104.0,1.0,1.0,0.71052,0.71052,1.28948,1.28948,3.21176,3.21176,104.0,-1.0,-1.0,-1.52251,1.18043
ENG-Premier League,2526,2026-09-05,West Ham,Arsenal,,,,,,1746.12316895,2060.09692383,-313.9737548799999,1.0,1.0,-0.30746000000000007,-0.30746000000000007,1.30746,1.30746,0.735767,0.735767,104.0,1.0,4.0,0.21582,1.0109049999999997,0.78418,0.9890949999999998,1.81154,1.1193824999999997,104.0,0.0,-3.0,-0.5040799999999999,-0.04841300000000004
GER-Bundesliga,2526,2026-09-05,Hamburg,Freiburg,,,,,,1583.98303223,1699.19946289,-115.21643066,3.0,3.0,0.4489399999999999,0.4489399999999999,1.55106,1.55106,1.04614,1.04614,64.0,3.0,3.0,0.63548,0.63548,0.36452,0.36452,1.12332,1.12332,64.0,0.0,0.0,0.42774,0.6816200000000001
